Staten Island Rolling Sales File.  All Sales From May 2015 - April 2016.,,,,,,,,,,,,,,,,,,,,
Sales File as of 4/30/2016  Co-op Sales Files as of 4/30/2016,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 5/1/2016, Descriptive Data is as of 5/1/2016",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6303,57, ,A1,449 SINCLAIR AVENUE                      ,            ,10312,1,0,1,4400,1568,1980,1,A1, $-   ,10/22/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6303,74, ,A2,131 DELMAR AVENUE                        ,            ,10312,1,0,1,4000,1512,1980,1,A2," $525,000 ",2/16/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6304,52, ,A1,355 STAFFORD AVENUE                      ,            ,10312,1,0,1,4000,2704,1980,1,A1, $-   ,7/23/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6305,145, ,A1,406 CROWN AVENUE                         ,            ,10312,1,0,1,10000,3120,1985,1,A1," $885,000 ",11/5/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6320,20, ,A2,129 DOWNES AVENUE                        ,            ,10312,1,0,1,4000,1125,1965,1,A2," $480,000 ",2/16/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6320,65, ,A2,74 BUFFINGTON AVENUE                     ,            ,10312,1,0,1,4000,1125,1965,1,A2, $-   ,12/14/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6321,18, ,A1,5193 AMBOY ROAD                          ,            ,10312,1,0,1,3800,1560,1925,1,A1," $499,000 ",8/20/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6323,3, ,A1,270 ALBEE AVENUE                         ,            ,10312,1,0,1,4000,1672,1975,1,A1, $-   ,6/4/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6353,40, ,A1,110 BAYVIEW TERRACE                      ,            ,10312,1,0,1,3200,2500,1992,1,A1," $870,000 ",5/26/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6360,61, ,A1,64 RYAN PLACE                            ,            ,10312,1,0,1,7000,2180,1985,1,A1," $775,000 ",12/29/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6360,70, ,A1,4823 HYLAN BOULEVARD                     ,            ,10312,1,0,1,3570,1600,2000,1,A1, $-   ,5/20/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6365,6, ,A1,541 BARCLAY AVENUE                       ,            ,10312,1,0,1,3960,2642,1980,1,A1," $609,500 ",12/10/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6366,34, ,A3,352 SHIRLEY AVENUE                       ,            ,10312,1,0,1,8000,3550,1990,1,A3, $-   ,9/2/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6366,38, ,A1,344 SHIRLEY AVENUE                       ,            ,10312,1,0,1,4240,1920,1970,1,A1," $590,000 ",5/1/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6368,21, ,A1,64 JANSEN STREET                         ,            ,10312,1,0,1,6000,1820,1975,1,A1," $614,250 ",2/17/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6369,1, ,A2,237 HOLDRIDGE AVENUE                     ,            ,10312,1,0,1,10200,4833,1984,1,A2, $-   ,1/27/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6370,4, ,A3,491 BARCLAY AVENUE                       ,            ,10312,1,0,1,6180,4808,1990,1,A3," $975,000 ",11/20/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6378,73, ,A1,153 EYLANDT STREET                       ,            ,10312,1,0,1,6200,2550,1975,1,A1," $710,000 ",9/1/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6400,47, ,A2,490 LIPSETT AVENUE                       ,            ,10312,1,0,1,8240,724,1940,1,A2," $445,000 ",7/1/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6401,52, ,A1,600 BARCLAY AVENUE                       ,            ,10312,1,0,1,4000,2500,1997,1,A1," $590,000 ",6/19/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6402,9, ,A2,409 LIPSETT AVENUE                       ,            ,10312,1,0,1,4080,1480,1950,1,A2," $430,000 ",11/25/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6402,46, ,A2,24 ALLEN PLACE                           ,            ,10312,1,0,1,4000,1104,1950,1,A2, $-   ,6/19/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6424,35, ,A1,274 BARCLAY AVENUE                       ,            ,10312,1,0,1,6000,2100,1975,1,A1," $769,000 ",11/2/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6424,38, ,A1,280 BARCLAY AVENUE                       ,            ,10312,1,0,1,6000,2100,1975,1,A1," $625,000 ",8/12/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6429,90, ,A3,25 BLUE HERON COURT                      ,            ,10312,1,0,1,12695,4030,2000,1,A3, $-   ,7/22/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6429,94, ,A1,5008 AMBOY ROAD                          ,            ,10312,1,0,1,15000,1960,1920,1,A1," $400,000 ",8/13/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6429,100, ,A1,4998 AMBOY ROAD                          ,            ,10312,1,0,1,15000,1425,1915,1,A1, $-   ,10/27/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6452,1, ,A3,44 ZEPHYR AVENUE                         ,            ,10312,1,0,1,7600,3490,1997,1,A3," $1,200,000 ",9/29/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6452,7, ,A6,30 ZEPHYR AVENUE                         ,            ,10312,1,0,1,7700,368,1920,1,A6," $425,000 ",9/11/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6469,66, ,A2,32 POILLON AVENUE                        ,            ,10312,1,0,1,12506,2316,1983,1,A2, $-   ,11/4/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6469,114, ,A2,112 POILLON AVENUE                       ,            ,10312,1,0,1,13206,1506,1965,1,A2, $-   ,10/28/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6474,31, ,A1,11 PHILIP AVENUE                         ,            ,10312,1,0,1,6000,1792,1975,1,A1, $-   ,8/4/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6475,85, ,A3,17 NICOLOSI LOOP                         ,            ,10312,1,0,1,13390,5994,2002,1,A3," $1,495,000 ",7/28/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6475,115, ,A7,77 NICOLOSI LOOP                         ,            ,10312,1,0,1,14660,7000,1988,1,A7," $1,500,000 ",2/8/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6475,521, ,A5,353 ARBUTUS AVENUE                       ,            ,10312,1,0,1,2285,1922,2011,1,A5, $-   ,10/29/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6475,523, ,A5,349 ARBUTUS AVENUE                       ,            ,10312,1,0,1,1547,1939,2011,1,A5," $485,000 ",10/2/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6475,531, ,A5,5196 HYLAN BOULEVARD                     ,            ,10312,1,0,1,1722,2646,2011,1,A5," $465,000 ",7/22/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6499,60, ,A3,54 WENDY DRIVE                           ,            ,10312,1,0,1,11556,3542,1985,1,A3, $-   ,10/14/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6517,58, ,A3,205 ARBUTUS AVENUE                       ,            ,10312,1,0,1,20000,3550,1989,1,A3," $1,170,000 ",12/3/2015
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6517,59, ,A3,203 ARBUTUS AVENUE                       ,            ,10312,1,0,1,20000,3140,1989,1,A3," $980,000 ",12/3/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,5406,1, ,B2,381 HAROLD AVENUE                        ,            ,10312,2,0,2,5032,3803,2015,1,B2," $996,866 ",3/11/2016
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,5408,20, ,B9,162 BATHGATE STREET                      ,            ,10312,2,0,2,3058,1492,1995,1,B9," $477,900 ",6/29/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6212,27, ,B2,92 JEANNETTE AVENUE                      ,            ,10312,2,0,2,3000,1548,2005,1,B2," $525,000 ",8/14/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6212,114, ,B2,1160 ARDEN AVENUE                        ,            ,10312,2,0,2,19950,1216,1910,1,B2," $722,500 ",2/17/2016
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6212,169, ,B2,83 JEANNETTE AVENUE                      ,            ,10312,2,0,2,8000,2744,1980,1,B2," $855,000 ",9/30/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6221,140, ,B9,14 RALPH AVENUE                          ,            ,10312,2,0,2,2400,1580,2004,1,B9, $-   ,6/20/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6222,49, ,B2,25 LORRAINE AVENUE                       ,            ,10312,2,0,2,4000,2550,2015,1,B2," $794,233 ",2/18/2016
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6222,50, ,B2,21 LORRAINE AVENUE                       ,            ,10312,2,0,2,4000,2550,2015,1,B2," $793,216 ",10/22/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6226,39, ,B9,776 ANNADALE ROAD                        ,            ,10312,2,0,2,5370,1248,1925,1,B9, $-   ,1/8/2016
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6234,57, ,B2,191 RENSSELAER AVENUE                    ,            ,10312,2,0,2,4000,2400,1997,1,B2," $710,000 ",9/4/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6237,17, ,B2,228 VINELAND AVENUE                      ,            ,10312,2,0,2,5000,3615,2014,1,B2," $906,242 ",7/15/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6237,18, ,B2,224 VINELAND AVENUE                      ,            ,10312,2,0,2,5000,3615,2014,1,B2," $906,242 ",11/3/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6237,56, ,B2,163 STAFFORD AVENUE                      ,            ,10312,2,0,2,4000,2100,2000,1,B2," $705,000 ",10/15/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6238,54, ,B2,185 VINELAND AVENUE                      ,            ,10312,2,0,2,8000,1680,1975,1,B2," $732,000 ",12/9/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6239,63, ,B2,217 CROWN AVENUE                         ,            ,10312,2,0,2,9600,2352,1980,1,B2, $-   ,8/3/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6246,30, ,B2,1007 ANNADALE ROAD                       ,            ,10312,2,0,2,7592,2512,1978,1,B2, $-   ,9/30/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6246,41, ,B2,28 FURMAN STREET                         ,            ,10312,2,0,2,10360,2668,1978,1,B2," $865,000 ",11/19/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6249,222, ,B2,67 ELY COURT                             ,            ,10312,2,0,2,8531,3600,1993,1,B2, $-   ,8/7/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6249,247, ,B2,132 NORTH PINE TERRACE                   ,            ,10312,2,0,2,4000,2008,1965,1,B2, $-   ,9/2/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6250,35, ,B2,55 TENAFLY PLACE                         ,            ,10312,2,0,2,4218,3496,2014,1,B2," $896,060 ",8/5/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6250,36, ,B2,59 TENAFLY PLACE                         ,            ,10312,2,0,2,4053,3323,2014,1,B2," $778,961 ",8/20/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6250,37, ,B2,63 TENAFLY PLACE                         ,            ,10312,2,0,2,4699,3323,2014,1,B2," $778,961 ",10/29/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6250,38, ,B2,67 TENAFLY PLACE                         ,            ,10312,2,0,2,3931,3323,2014,1,B2," $778,961 ",8/6/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6250,39, ,B2,5113G AMBOY ROAD                         ,            ,10312,2,0,2,3922,3323,2014,1,B2," $778,961 ",7/24/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6250,100, ,B2,5113H AMBOY ROAD                         ,            ,10312,2,0,2,4275,2235,2014,1,B2," $789,143 ",8/13/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6251,9, ,B2,86 DOWNES AVENUE                         ,            ,10312,2,0,2,4000,2100,1987,1,B2, $-   ,12/1/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6252,54, ,B2,21 DOWNES AVENUE                         ,            ,10312,2,0,2,3000,1480,1986,1,B2, $-   ,6/2/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6252,57, ,B2,29 DOWNES AVENUE                         ,            ,10312,2,0,2,3000,1480,1986,1,B2, $-   ,8/5/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6252,62, ,B2,41 DOWNES AVENUE                         ,            ,10312,2,0,2,4000,2186,1986,1,B2," $585,000 ",5/21/2015
5,ANNADALE                 ,02  TWO FAMILY DWELLINGS                    ,1,6258,4, ,B1,76 JEFFERSON BOULEVARD                   ,            ,10312,2,0,2,6000,1038,1935,1,B1," $481,650 ",12/30/2015
